Category,ElmtName,Levels,ElmtNot,Element,AFNot,-5,-4,-3,-2,-1,BASE,1,2,3,4,5,DGrade,ElmntLvl,AddFeat,AFLvl
MOVE ELEMENT,MOVE ELEMENT,Level 3,ME3<,ME,,-2.88,-2.3,-1.73,-1.15,-0.58,5.75,0.58,1.15,1.73,2.3,2.88,1,3,,
MOVE ELEMENT,MOVE ELEMENT,Level 3,ME3<<,ME,,-2.63,-2.1,-1.58,-1.05,-0.53,5.25,0.53,1.05,1.58,2.1,2.63,2,3,,
MOVE ELEMENT,MOVE ELEMENT,Level 4,ME4,ME,,-3.5,-2.8,-2.1,-1.4,-0.7,7.0,0.7,1.4,2.1,2.8,3.5,0,4,,
MOVE ELEMENT,MOVE ELEMENT,Level 4,ME4<,ME,,-3.38,-2.7,-2.03,-1.35,-0.68,6.75,0.68,1.35,2.03,2.7,3.38,1,4,,
MOVE ELEMENT,MOVE ELEMENT,Level 4,ME4<<,ME,,-3.13,-2.5,-1.88,-1.25,-0.63,6.25,0.63,1.25,1.88,2.5,3.13,2,4,,
NO HOLD ELEMENT,NO HOLD ELEMENT,Level B,NHEB,NHE,-,-0.13,-0.1,-0.08,-0.05,-0.03,0.25,0.03,0.05,0.08,0.1,0.13,0,B,-,
NO HOLD ELEMENT,NO HOLD ELEMENT,Level 1,NHEB,NHE,sB,-0.25,-0.2,-0.15,-0.1,-0.05,0.5,0.05,0.1,0.15,0.2,0.25,0,B,s,B
NO HOLD ELEMENT,NO HOLD ELEMENT,Level 1,NHE1,NHE,-,-0.25,-0.2,-0.15,-0.1,-0.05,0.5,0.05,0.1,0.15,0.2,0.25,0,1,-,
NO HOLD ELEMENT,NO HOLD ELEMENT,Level 2,NHEB,NHE,s1,-0.38,-0.3,-0.23,-0.15,-0.08,0.75,0.08,0.15,0.23,0.3,0.38,0,B,s,1
NO HOLD ELEMENT,NO HOLD ELEMENT,Level 3,NHE1,NHE,sB,-0.5,-0.4,-0.3,-0.2,-0.1,1.0,0.1,0.2,0.3,0.4,0.5,0,1,s,B
NO HOLD ELEMENT,NO HOLD ELEMENT,Level 4,NHE2,NHE,-,-0.63,-0.5,-0.38,-0.25,-0.13,1.25,0.13,0.25,0.38,0.5,0.63,0,2,-,
NO HOLD ELEMENT,NO HOLD ELEMENT,Level 5,NHE1,NHE,s1,-0.75,-0.6,-0.45,-0.3,-0.15,1.5,0.15,0.3,0.45,0.6,0.75,0,1,s,1
NO HOLD ELEMENT,NO HOLD ELEMENT,Level 6,NHE2,NHE,sB,-0.88,-0.7,-0.53,-0.35,-0.18,1.75,0.18,0.35,0.53,0.7,0.88,0,2,s,B
NO HOLD ELEMENT,NO HOLD ELEMENT,Level 7,NHE2,NHE,s1,-1.0,-0.8,-0.6,-0.4,-0.2,2.0,0.2,0.4,0.6,0.8,1.0,0,2,s,1
NO HOLD ELEMENT,NO HOLD ELEMENT,Level 8,NHEB,NHE,s2,-1.13,-0.9,-0.68,-0.45,-0.23,2.25,0.23,0.45,0.68,0.9,1.13,0,B,s,2
NO HOLD ELEMENT,NO HOLD ELEMENT,Level 9,NHE3,NHE,-,-1.25,-1.0,-0.75,-0.5,-0.25,2.5,0.25,0.5,0.75,1.0,1.25,0,3,-,
NO HOLD ELEMENT,NO HOLD ELEMENT,Level 10,NHE1,NHE,s2,-1.38,-1.1,-0.83,-0.55,-0.28,2.75,0.28,0.55,0.83,1.1,1.38,0,1,s,2
NO HOLD ELEMENT,NO HOLD ELEMENT,Level 11,NHE3,NHE,sB,-1.5,-1.2,-0.9,-0.6,-0.3,3.0,0.3,0.6,0.9,1.2,1.5,0,3,s,B
NO HOLD ELEMENT,NO HOLD ELEMENT,Level 12,NHE3,NHE,s1,-1.63,-1.3,-0.98,-0.65,-0.33,3.25,0.33,0.65,0.98,1.3,1.63,0,3,s,1
NO HOLD ELEMENT,NO HOLD ELEMENT,Level 13,NHE2,NHE,s2,-1.75,-1.4,-1.05,-0.7,-0.35,3.5,0.35,0.7,1.05,1.4,1.75,0,2,s,2
NO HOLD ELEMENT,NO HOLD ELEMENT,Level 14,NHEB,NHE,s3,-2.0,-1.6,-1.2,-0.8,-0.4,4.0,0.4,0.8,1.2,1.6,2.0,0,B,s,3
NO HOLD ELEMENT,NO HOLD ELEMENT,Level 15,NHE4,NHE,sB,-2.5,-2.0,-1.5,-1.0,-0.5,5.0,0.5,1.0,1.5,2.0,2.5,0,4,s,B
NO HOLD ELEMENT,NO HOLD ELEMENT,Level 16,NHE4,NHE,s1,-2.63,-2.1,-1.58,-1.05,-0.53,5.25,0.53,1.05,1.58,2.1,2.63,0,4,s,1
NO HOLD ELEMENT,NO HOLD ELEMENT,Level 17,NHE1,NHE,s3,-2.75,-2.2,-1.65,-1.1,-0.55,5.5,0.55,1.1,1.65,2.2,2.75,0,1,s,3
NO HOLD ELEMENT,NO HOLD ELEMENT,Level 18,NHE2,NHE,s3,-2.88,-2.3,-1.73,-1.15,-0.58,5.75,0.58,1.15,1.73,2.3,2.88,0,2,s,3
NO HOLD ELEMENT,NO HOLD ELEMENT,Level 19,NHEB,NHE,s4,-3.0,-2.4,-1.8,-1.2,-0.6,6.0,0.6,1.2,1.8,2.4,3.0,0,B,s,4
NO HOLD ELEMENT,NO HOLD ELEMENT,Level 20,NHE1,NHE,s4,-3.13,-2.5,-1.88,-1.25,-0.63,6.25,0.63,1.25,1.88,2.5,3.13,0,1,s,4
NO HOLD ELEMENT,NO HOLD ELEMENT,Level 21,NHE3,NHE,s2,-3.25,-2.6,-1.95,-1.3,-0.65,6.5,0.65,1.3,1.95,2.6,3.25,0,3,s,2
